rating,stars,pitches,type,city,state
Bucket Slave,5.10b,3.9,1,"Trad, Sport",San Luis Valley,Colorado
B/C,5.9+,3.6,1,Sport,Canon City,Colorado
Rads For Rookies,5.8,3.4,1,Sport,Boulder,Colorado
Pansee Sauvage,5.11b R,4.5,1,"Trad, Sport",Boulder,Colorado
Pick Pocket,5.11d,3.9,1,Sport,Canon City,Colorado
Evil,5.13b,3.8,1,Sport,Golden,Colorado
Frothing Green,5.10d,2.5,1,Sport,Boulder,Colorado
Gun Shy,5.12c,3.4,1,Sport,Rifle,Colorado
Job Security,5.11,3.6,2,Sport,Golden,Colorado
White Rabbit,5.9 X,2.0,1,Trad,Boulder,Colorado
Butterfly,5.6 R,3.8,,Trad,Boulder,Colorado
Second Coming,5.11a X,2.0,,"Sport, TR",Boulder,Colorado
Middle Toe,5.9-,3.5,1,Sport,Estes Park Valley,Colorado
Curve of Binding Energy,5.12a/b,3.2,1,Sport,Boulder,Colorado
The Eighth Day (aka MC 900 FT Jesus),5.13a,4.7,2,Sport,Rifle,Colorado
Astro Turkey,5.11b,4.1,1,Trad,South Platte,Colorado
Dumpster Barbecue,5.13c,5.0,1,Sport,Rifle,Colorado
Sunny Side One,5.5,2.7,3,Trad,Boulder,Colorado
"T-zilla, Rap Drilla",5.12c/d,3.5,,Sport,South Platte,Colorado
Brother From Another Planet,5.13b,4.4,1,Sport,Lyons,Colorado
Scratch and Claw,5.12c,2.5,1,Sport,Canon City,Colorado
Enola Gay,5.8,2.0,,Trad,Canon City,Colorado
Kahuna Roof,V5-6,4.8,,Boulder,Fort Collins,Colorado
Cantina Boy,5.13b,3.5,1,Sport,Rifle,Colorado
Hung Like a Horse,5.11a,4.8,1,Trad,Vedauwoo,Wyoming
Interceptor,5.11b R,4.3,1,Trad,Boulder,Colorado
Blackman's Burden,5.10c,3.9,1,Sport,Canon City,Colorado
Cabin Fever,5.9,2.0,,Trad,South Platte,Colorado
Perry Meson,5.8,3.0,,Trad,Boulder,Colorado
Razor Hueco Arete - aka Razor Blades and Whipping Cream,5.10a,3.9,1,Sport,San Luis Valley,Colorado
Where The Wild Things Are,5.11d,3.3,1,Sport,Denver South,Colorado
South Face Roof,5.7 C2,2.0,1,Aid,Boulder,Colorado
Drill at Will,5.10d,4.0,1,Sport,South Platte,Colorado
Choss Temple Pilots,5.12d,4.0,1,Sport,South Platte,Colorado
Precipitation,5.9 C2,5.0,,"Trad, Aid",Estes Park Valley,Colorado
Sunny Side Two,4th,3.4,1,Trad,Boulder,Colorado
No Respite,5.10,3.0,,Trad,Estes Park Valley,Colorado
Lizzard Warrior,5.10d,4.1,1,Sport,Estes Park Valley,Colorado
Corrugation Corner,5.10a/b,3.6,1,Sport,Colorado Springs,Colorado
New River Gorge Homesick Blues,5.10a,2.9,1,Sport,Golden,Colorado
Climbing By The Brooks,5.8,3.0,1,Sport,Colorado Springs,Colorado
Anatomy 101,5.8+,3.0,1,Sport,San Luis Valley,Colorado
Android Tilt,5.10b,2.8,1,Trad,Boulder,Colorado
Muted by Reality,5.11b,4.4,1,Sport,Canon City,Colorado
Chinook,5.9+,3.8,1,Trad,South Platte,Colorado
East Prow,5.9+,4.0,6,"Trad, Alpine",Alpine Rock,Colorado
Power Bulge,5.12c,4.6,1,Sport,Boulder,Colorado
Paleolithic Tool Traditions,5.11d,3.7,1,Sport,Canon City,Colorado
East Face/Arrowhead,5.4,3.0,,"Trad, Alpine",Alpine Rock,Colorado
Wild Card,5.11c,3.4,1,Sport,Golden,Colorado
Wind Tower Slab,5.9 X,2.9,1,"Trad, TR",Boulder,Colorado
Double Life,5.9+ R,2.0,2,Trad,Boulder,Colorado
Rinodina,5.9+ R,2.2,4,Trad,Boulder,Colorado
The Vanishing,5.11c,3.5,,Sport,Boulder,Colorado
Ground Zero,5.11c/d,3.0,1,"Sport, Chipped",Boulder,Colorado
