rating,stars,pitches,type,city,state
32,5.10a,3.0,,"Sport, TR",Ross Park,Idaho
20,5.10a,4.0,,"Sport, TR",Ross Park,Idaho
Labor Day variation,5.8,0.0,1,TR,Devil's Lake,Wisconsin
Fall Is Near,5.7,3.0,1,"Trad, TR",Devil's Lake,Wisconsin
Diva,5.10a,3.6,,Sport,Adirondacks,New York
Left Crack,5.6,3.3,1,Trad,Fort Collins,Colorado
Dweezil,5.7,2.9,,Sport,Adirondacks,New York
Geier Sturzflug,5.11a,4.0,,Sport,Europe,International
Gratefully Dead,5.6,3.0,,"Trad, TR",Patapsco State Park,Maryland
V2,V2,3.5,,Boulder,Eagle/Vail/Minturn/Red Cliff,Colorado
The Great Panjandrum,5.8,3.0,,Trad,Okanogan,Washington
Rest in Peace,5.10a,2.0,1,Sport,Los Angeles Basin,California
Crossed Out,5.10c,2.0,1,Sport,Los Angeles Basin,California
Contemplation,V0 R,1.0,2,Boulder,North America,International
My Pet Monster,V10+,5.0,,Boulder,North America,International
They Are Afraid Of Her,5.9+ R,4.0,,Trad,Custer State Park,South Dakota
Problem A,V3,3.3,,Boulder,San Jacinto Mountains,California
Problem C,V1,2.7,,Boulder,San Jacinto Mountains,California
Mini-Slab,5.11a,3.0,1,Sport,South Platte,Colorado
Pushing the Envelope,V6+,3.0,,Boulder,Cape Ann,Massachusetts
H2 Alpine,5.6 R,0.0,3,Trad,Adirondacks,New York
No Use Crying Over Spilt Beer,V2 PG13,3.0,,Boulder,Asia,International
TARZAN,5.9,1.0,,Sport,Europe,International
Welcome to the Neighborhood,5.9+,3.0,1,Trad,The Needles Of Rushmore,South Dakota
Super Slab Warmup,V0-,3.4,,Boulder,Devil's Lake,Wisconsin
Methow Inspiration Route,5.9,3.8,5,Sport,Okanogan,Washington
Stray Cat,5.8,2.8,1,Sport,Golden,Colorado
Wild Hair,V10-11 PG13,4.0,,Boulder,Independence Pass,Colorado
Executioner,5.12c,5.0,,Sport,Spearfish Canyon,South Dakota
5.10 Face Climb,5.10b,2.5,1,"Sport, TR",Asia,International
5.11b Face Climb,5.11b,0.0,,"Sport, TR",Asia,International
Masquerade,5.10a,3.0,,Sport,North America,International
The Pimp Chimp's Crimp,V4,4.0,,Boulder,Morrison/Evergreen,Colorado
Joint Effort,5.9+,3.0,,Sport,Wasatch Range,Utah
Skid Marks,5.10,3.8,1,Sport,The Needles Of Rushmore,South Dakota
Sportfest,5.12d,4.0,,Sport,Wasatch Range,Utah
Beer Mule,5.10a,3.3,1,"Trad, Alpine",Uinta Mountains,Utah
"Ingalls Peak, East Ridge",5.7,3.7,6,Trad,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Scantily Trad,5.12,4.0,1,Trad,Dumont vicinity,Colorado
Short Round,5.10+,3.0,,Trad,Moab Area,Utah
Red Gravy,5.10b/c,2.7,,Sport,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Lynn Hill Traverse,V8,3.5,,Boulder,The Gunks,New York
Pythagoras,V3,3.0,,"Boulder, Alpine",Gallatin Canyon,Montana
Gainsborough Arete,V-easy,2.5,,Boulder,Los Angeles Basin,California
There and Back Again,V3,3.0,,Boulder,Gallup Area,New Mexico
There and Back Again,5.7,2.7,,Trad,*Rumney,New Hampshire
Problem I,V3,3.0,,Boulder,Sierra Eastside,California
Problem B,V1,2.0,,Boulder,Sierra Eastside,California
Problem C,V0,2.0,,Boulder,Sierra Eastside,California
Problem C SDS,V1,2.0,,Boulder,Sierra Eastside,California
Panic Pillar,5.9 R,4.4,1,"Trad, Alpine",Yosemite National Park,California
Problem A,V1 R,3.0,,Boulder,Sierra Eastside,California
Problem B,V3,3.0,,Boulder,Sierra Eastside,California
Clove Cigarettes,V1,3.0,,Boulder,Cape Ann,Massachusetts
Problem B,V0,3.0,,Boulder,Sierra Eastside,California
Nameless Dihedral,V0,2.0,,Boulder,Estes Park Valley,Colorado
Full Charge,5.11c,4.7,,Sport,Ten Sleep Canyon,Wyoming
Danny de Vito,5.12a,4.0,,Sport,Europe,International
Take a Hike,5.13a,5.0,,Sport,City of Rocks,Idaho
RedNeck Agenda,5.11a,4.0,,Sport,Snowy Range,Wyoming
Teetering On The Brink Of Madness,5.11,2.0,,"Sport, TR",Southern Arizona,Arizona
"You, Me, and the Dike",5.10a R,3.5,1,Trad,Yosemite National Park,California
Finger Breakers,5.6,3.0,1,TR,Las Cruces Area Climbing,New Mexico
Where Eagles Dare,5.10d,3.0,1,Trad,Okanogan,Washington
Babies Have Rabies,5.8+,3.3,1,"Trad, Sport",Grand Junction Area,Colorado
Sidewinder Direct,5.10d,3.0,1,"Trad, Sport",Okanogan,Washington
"Climb, Sleep, Eat, Drink, Dream",5.7,3.0,,Sport,Okanogan,Washington
Fracture,5.9,3.0,,Trad,Okanogan,Washington
Romancing The Novel,5.11b,2.0,,"Trad, Sport",Okanogan,Washington
Wear Your Rubbers,5.8,3.0,1,Trad,Okanogan,Washington
Unknown,5.11c,3.0,1,Sport,Silverton area,Colorado
Oxidation,5.10a,2.0,1,TR,San Bernardino Mountains,California
Sasquatch,5.11a,3.0,,Sport,Spearfish Canyon,South Dakota
Crimpfest,5.13-,4.0,,Sport,Wasatch Range,Utah
Invasive Species,5.11a,5.0,2,Trad,Cedar Rock,North Carolina
Inner Garden,5.11a,2.0,,Sport,Okanogan,Washington
Lightning Bolt,5.9,2.0,,"Trad, Sport",Okanogan,Washington
Frenching Shiela,5.12,4.0,1,Trad,Central Arizona,Arizona
Young Adult Friction,V1,3.0,,Boulder,Cape Ann,Massachusetts
Discontinuance (Continuance post-rockfall),5.9,2.6,1,Sport,Harrisonburg and NW VA,Virginia
The Nothing,V9-10,4.0,,"Boulder, Alpine",Anchorage & South Central Alaska,Alaska
Seasons of the Mist,V5,4.0,,Boulder,Anchorage & South Central Alaska,Alaska
Evening Star,5.8,3.0,,"Trad, Sport",Okanogan,Washington
Our White Angel,V3,3.0,,Boulder,CT Bouldering,Connecticut
Unknown,V1,3.0,,Boulder,CT Bouldering,Connecticut
The Flake,V0,4.0,,Boulder,CT Bouldering,Connecticut
Adoration,V5,4.0,,"Boulder, Alpine",Anchorage & South Central Alaska,Alaska
Wield The Sword,V2,3.5,,Boulder,CT Bouldering,Connecticut
The German and the Scot,5.10a,3.5,3,"Trad, Alpine",Alpine Rock,Colorado
Project Left,V-easy,3.0,,Boulder,CT Bouldering,Connecticut
Bumpy Road,5.5,2.0,,Trad,WM: Bartlett / Jackson Area,New Hampshire
Open Project,5.13,3.0,1,Sport,Silverton area,Colorado
Spic 'n Span - Spic,V0-1,2.0,,Boulder,Rapid City Area,South Dakota
Sunbather,V0,2.0,,Boulder,Grand Junction Area,Colorado
Old School,5.10 R,2.5,1,Trad,Boulder,Colorado
Mellow,5.7,2.0,1,Trad,Boulder,Colorado
La Vida,V3,2.0,,Boulder,CT Bouldering,Connecticut
Empathy,V1,2.0,,Boulder,CT Bouldering,Connecticut
Ghost Face (Low),V9-10,4.5,,Boulder,CT Bouldering,Connecticut
La Mota A Muerte,V5,4.5,,Boulder,CT Bouldering,Connecticut
Lithic Scatter,V2,3.5,,Boulder,Capitol Reef National Park,Utah
The Big F,5.8,2.0,1,Trad,North America,International
Iron Potato,5.12-,4.5,1,Trad,Northern Arizona,Arizona
Waiting For The Sun,5.11a,3.2,,Sport,Ten Sleep Canyon,Wyoming
Baby Back Rib,5.10,2.0,,Trad,Gallatin Canyon,Montana
Hailstorm,5.10a R,4.0,1,Trad,Bolton Area,Vermont
Astro Projection,5.12+,3.0,,Sport,Northeast Ridges and Valleys,Pennsylvania
Too Big To Fail,5.8,2.0,1,Trad,Lyons,Colorado
Dam Cool,V0+,4.0,,Boulder,San Diego County,California
Cheyenne,5.10b,4.0,1,Sport,North America,International
Equinoxe,5.10b,3.0,1,Sport,North America,International
Bolting for Jesus,5.10a PG13,4.0,1,Sport,Durango,Colorado
J. Piton,5.11d,4.0,1,Sport,Europe,International
Two Step Arete,V1-,3.0,,Boulder,Garrett Mountain,New Jersey
Unknown,5.8,2.7,1,Sport,Gallatin Canyon,Montana
Rattled,5.11b,4.0,1,Sport,Reimer's Ranch North Shore,Texas
Leap of Faith,5.10c,3.0,1,Sport,Reimer's Ranch North Shore,Texas
Read My Clips,5.11a/b,5.0,1,Sport,The Needles Of Rushmore,South Dakota
The Plume,V1,4.0,,Boulder,Kenai Peninsula,Alaska
Thin Mint,5.8,3.0,2,"Trad, Alpine",Fairbanks and Vicinity,Alaska
Cheap Thrills,5.6 A1,0.0,2,"Sport, Aid",Las Cruces Area Climbing,New Mexico
Dilemma,5.10d,4.0,,Trad,Uinta Mountains,Utah
Wolves Eat Onions,V3,4.0,,Boulder,Wichita Wildlife Refuge,Oklahoma
Shoot a Land Developer,V2 PG13,3.0,,Boulder,Durango,Colorado
Bailout Left,V1+,3.0,,Boulder,Durango,Colorado
Walking the Plankton,5.12+,5.0,1,Sport,Custer State Park,South Dakota
End of the Line,5.4,3.0,,"Trad, TR",Devil's Lake,Wisconsin
Maria Hilf!,5.11b,2.0,,TR,Europe,International
Crag Rat,5.9,2.7,1,Sport,North America,International
Wesley's Go-Te,5.7,2.0,1,Trad,Harrison Pass,Nevada
Coyote Line,5.7 V-easy,2.0,,Boulder,San Diego County,California
ASPCA,5.7+ PG13,3.4,1,Trad,Adirondacks,New York
Never Drive a Car When You're Dead,5.10b,4.5,1,Sport,Europe,International
Tricks Are For Hookers,5.11b,3.1,,Sport,Ten Sleep Canyon,Wyoming
Sloppy Seconds,5.10d,3.0,,Sport,Ten Sleep Canyon,Wyoming
Mutt Ridin Monkey,5.10d,3.9,,Sport,Lander Area,Wyoming
Richter scale,5.11a/b,5.0,1,Sport,Asia,International
Undercling,V0+,2.8,,Boulder,Fort Collins,Colorado
Coors Corner,5.5,2.0,2,Trad,Adirondacks,New York
Leech Therapy,V1,3.7,,Boulder,Southern NH and Seacoast,New Hampshire
Dr. Jekyll,5.10,4.0,2,Trad,Europe,International
Unknown,5.10a,3.5,1,Sport,Gallatin Canyon,Montana
Dirk Diggler,5.12a,3.3,,Sport,Spearfish Canyon,South Dakota
Mini-Dike Overpass,5.9,2.7,1,Trad,Southern Sierra,California
Sunshine Arete,V0+,3.0,,Boulder,Telluride/Norwood area,Colorado
Jacquelene,V7,5.0,,Boulder,Central Coast,California
Pumped Stumps,5.10b,3.7,1,Sport,Laclede,Idaho
Chicken McNubbins,5.10c,3.3,1,"Trad, Sport",Laclede,Idaho
Balanced Effect,5.11a,3.5,2,Sport,Northeast Corner & Spokane,Washington
Bear Trap,5.11a/b,3.5,1,Sport,Lake Tahoe,California
head and shoulders [knees and toes],V4,3.0,,Boulder,North America,International
Devious Dogs,5.10d,1.8,,Sport,Wasatch Range,Utah
"21: Unnamed: [""From Choss to Stardom""]",5.10a,3.0,1,Trad,Asia,International
Kissing Bandit,5.9,4.0,1,Sport,Okanogan,Washington
Orion,5.10c,3.8,1,Sport,Southwest Cascades,Washington
RU Sirius,V-easy,2.7,1,Boulder,Muscatatuck County Park,Indiana
Blank Slate,5.9,2.0,,TR,Africa,International
Unnamed/Unknown 2,V5-6,3.0,,Boulder,Lake Tahoe,California
Too Easy for John,5.7,2.9,1,Sport,Central Region,Washington
Bunny Hug,5.10a,0.0,,Sport,Asia,International
Insight and Catharsis,5.12-,5.0,,Sport,Asia,International
Rib Cage,V6,4.0,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Moffatt Problem,V11,4.0,,Boulder,Lake Tahoe,California
"More playin, less sprayin",5.11a,4.3,1,Sport,Anchorage & South Central Alaska,Alaska
The Girlfriend route,5.10a/b,5.0,,"Trad, Sport",Anchorage & South Central Alaska,Alaska
Voie Parat-Seigneur,5.10a,4.0,7,"Trad, Alpine",Europe,International
The Lizard Lounge,5.11d,4.0,1,"Trad, Sport",Sierra Eastside,California
Erocktica,5.10c,3.7,,Sport,Pilot Mountain,North Carolina
Klein aber fein,5.7,2.0,,Sport,Europe,International
Benny Hill,5.10c,3.3,1,Sport,Jackson Falls,Illinois
Divisible,V1-,3.0,,Boulder,DEKD boulders in Killington,Vermont
Kivu Route,5.8-,2.8,1,TR,Durango,Colorado
Rapsioda Carioca,5.12a,5.0,3,"Trad, Sport",South America,International
Moderate on Left Face (aka The Mace) (Mace Boulder),V2,3.0,,Boulder,Fort Collins,Colorado
South Face of Warmup Boulder,V1,2.7,,Boulder,Fort Collins,Colorado
Unknown -Warm up (The Jake),V1 PG13,3.0,,Boulder,Morrison/Evergreen,Colorado
King of Coney Island,5.10a,3.8,1,"Trad, Sport",Vedauwoo,Wyoming
Bilateral symmetry,5.11a/b PG13,4.8,1,Trad,Bolton Area,Vermont
A Balancing Act,5.10d,4.0,1,Sport,North America,International
Organic  2,5.8,3.0,,"Trad, TR",Q'Emilin Park,Idaho
The Space Between,5.11a,2.5,1,Sport,Southeastern Lowlands,Pennsylvania
Unnamed,V2 PG13,3.5,,Boulder,Los Angeles Basin,California
Flying Dutchman,5.10b,4.0,1,Trad,Southwest Cascades,Washington
Watered Whine,5.8,3.0,1,Sport,Asia,International
No need to be Chicken,5.6,3.3,1,Sport,Custer State Park,South Dakota
Yellow Jacket,5.9 V-easy,3.0,,Boulder,San Diego County,California
Last but not Least,5.10a,3.0,,Sport,Europe,International
Trouser Snake,5.11-,3.0,,Sport,Moab Area,Utah
Riplash,5.10+,3.0,,Trad,Southern NH and Seacoast,New Hampshire
Fretful Porpentine,5.9,2.0,1,Trad,Southern NH and Seacoast,New Hampshire
Ledgeland,5.5,0.0,1,"Trad, TR",Southern NH and Seacoast,New Hampshire
Redmond Barry,5.10b,3.5,1,Sport,Rifle,Colorado
Sky Flake,5.10d,3.0,1,Trad,Southern NH and Seacoast,New Hampshire
Aquaplaning,5.11a,5.0,,Sport,Europe,International
Kurz und gut,5.10c,2.0,,Sport,Europe,International
Cosa Nostra,5.14c,5.0,2,Sport,Telluride/Norwood area,Colorado
Rain Delay,5.7+,2.7,1,Trad,Golden,Colorado
Firefly Crack,V4-5,3.0,,Boulder,Southwest Virginia,Virginia
Cold Light Crack,V4-5,4.0,,Boulder,Southwest Virginia,Virginia
Northern Lights,5.11b/c,4.0,2,"Trad, Sport",Telluride/Norwood area,Colorado
Steam Finish,5.9,3.0,1,Trad,Ship Rock,North Carolina
Unknown 9,5.9,3.0,1,"Trad, Sport",Silver Plume,Colorado
River Slab,V3,3.5,,Boulder,Central-West Cascades & Seattle,Washington
Pride,V7,5.0,,Boulder,Yosemite National Park,California
Pinky's Arete,V4,5.0,,Boulder,CT Bouldering,Connecticut
Left Arete,V4,3.0,,Boulder,CT Bouldering,Connecticut
Sidewinder,5.8+,2.6,1,Sport,The Dump,North Carolina
"""5 Project""",V5-6,3.5,,Boulder,Lake Tahoe,California
Goldak,V0,4.4,,Boulder,Central Coast,California
Unnamed/Unknown 4,V3,2.0,,Boulder,Lake Tahoe,California
2 - The Runner,5.8,2.0,,Trad,North America,International
Curly,5.9,3.1,,Sport,North America,International
Flower,V8,3.0,,Boulder,Central-West Cascades & Seattle,Washington
NE Face Routes,4th AI2-3 PG13,4.5,,"Trad, Ice, Alpine",Los Angeles Basin,California
The Cool Fun Route,4th AI2-3 PG13,4.0,,"Ice, Alpine",Los Angeles Basin,California
Cave Slot,V0,3.0,,Boulder,Las Cruces Area Climbing,New Mexico
Ryne Sandbag,5.11d,3.5,,Sport,Spearfish Canyon,South Dakota
dolan,V1+,3.0,,Boulder,Killington - route 100 North,Vermont
gooby,V2-,4.0,,Boulder,Killington - route 100 North,Vermont
cheers,V2,4.0,,Boulder,Killington - route 100 North,Vermont
Flat Rock Flight,5.9,4.0,1,Trad,Grand Junction Area,Colorado
Community Grindfest,V1-2,2.0,,Boulder,Wasatch Range,Utah
Numb,V0,3.5,,Boulder,Wasatch Range,Utah
Strive Dreams,5.12a,4.0,1,Sport,Central Arizona,Arizona
Stitch in Time,5.10+,4.5,1,Trad,Sunset Park,Tennessee
Noah's Nursery,5.10d,2.7,,Sport,Bear Canyon,Montana
Super Jesus,5.11a,3.3,,Sport,Bear Canyon,Montana
Bar Wrench Route,5.7,3.0,,Sport,Bear Canyon,Montana
Mop humide,5.9,0.0,1,Trad,North America,International
Midnight in Paris,5.11b/c,3.0,1,Sport,Telluride/Norwood area,Colorado
Coitus Interruptus,5.12b,4.0,,Trad,North America,International
Sampson,5.11+ X,5.0,3,Trad,Moab Area,Utah
little Zunga,5.9,3.0,1,"Trad, TR",North America,International
Apricot Butter,5.11,4.0,1,Trad,Linville Gorge,North Carolina
Underworld Roof,V6,3.0,,Boulder,Southwest Virginia,Virginia
Borglum Memorial,5.10,3.0,,Trad,The Needles Of Rushmore,South Dakota
The Hobohemian,V1,3.0,,Boulder,Central Coast,California
Left Boulder,V-easy,2.6,,Boulder,Boulder,Colorado
Fire on The Mountain,5.11,3.5,1,Sport,Santa Fe Area,New Mexico
Trinity,5.10-,3.6,1,Sport,10 Mile Canyon,Colorado
Shunt Mouth,5.12a,3.7,1,Sport,Maple Canyon,Utah
Tweekin',5.10a X,4.0,1,"Trad, TR, Alpine",Yosemite National Park,California
Streakin',5.9 PG13,4.0,1,"Trad, TR, Alpine",Yosemite National Park,California
Hand Crack,5.4 R,3.0,2,Trad,Boulder,Colorado
In the Doghouse,5.7 PG13,3.1,1,"Sport, TR",North America,International
Lahar,5.11d,4.3,,Sport,Southeast Cascades & Yakima,Washington
Bicuspid Helicoprion,V1,3.0,,Boulder,Wasatch Range,Utah
Southern Dynamics,5.13a,4.0,1,Sport,Sam's Throne & Surroundings,Arkansas
Sass Rigais,Easy 5th,3.0,,"Trad, Alpine",Europe,International
Atlantis Attacks,5.11-,3.0,1,Sport,Southern Arizona,Arizona
Bombastic Bag-Man,5.10,3.0,1,Sport,Southern Arizona,Arizona
Massaker,5.12d,5.0,,Sport,Europe,International
Pin Route,5.9,3.0,5,"Trad, Alpine",Alpine Rock,Colorado
Suka,5.11b,4.0,1,Sport,Jeff's World (MN/CA border),Minnesota
Taliban Tea Party,5.8+,3.0,1,"Trad, Sport",Ouray vicinity (rock),Colorado
Anyone For Tennis?,5.11a,3.0,,Sport,Spearfish Canyon,South Dakota
Left Arete Project,5.11 V3,3.0,,"TR, Boulder",Cape Ann,Massachusetts
Where Is My Mind?,V4-5,4.0,,Boulder,East Side SD,South Dakota
Slapstick,5.12b,4.0,1,Sport,Tahquitz & Suicide Rocks,California
Slap Happy,5.10,2.9,,Sport,The Needles Of Rushmore,South Dakota
Near Life Experience,5.10d,2.3,1,Sport,Maple Canyon,Utah
Pain & A Dirty Glass,5.10,3.2,1,Sport,Southern Arizona,Arizona
Whiskey on Sunday,5.10a,2.8,1,Sport,Southern Arizona,Arizona
Pork Chop Torpedo,5.10b,4.0,1,Trad,Central-West Cascades & Seattle,Washington
Pipe Bombs Away,5.7,2.5,1,Sport,Wasatch Range,Utah
Roadtrip Prerequisite,5.8,3.3,1,Trad,Vedauwoo,Wyoming
Intruders V4,V4,0.0,,Boulder,Independence Pass,Colorado
Walking on Water,5.7,3.5,1,Sport,Vedauwoo,Wyoming
The Lump V1,V1,3.0,,Boulder,Independence Pass,Colorado
V2,V2,4.0,,Boulder,Independence Pass,Colorado
High Wire V4,V4,0.0,,Boulder,Independence Pass,Colorado
Urinary Tract,5.11a,5.0,1,Trad,Independence Pass,Colorado
The Hummingbird Crack,5.10-,4.0,2,Trad,Smuggler's Notch,Vermont
Project,V9-10,4.0,,Boulder,San Francisco Bay Area,California
Passt scho (Verschneidung),5.7,3.0,,Sport,Europe,International
Palm Sunday,5.11b,3.5,1,Sport,North America,International
Nips,5.7,3.0,1,TR,North America,International
Pseudo-Buddhist,5.11a,2.8,1,Sport,North America,International
O'Reilly's Left of Crack,V1,3.0,,Boulder,Smuggler's Notch,Vermont
Pulpit Arete,V6,5.0,,Boulder,Cape Ann,Massachusetts
Shang,5.12c,4.0,,Sport,The New River Gorge,West Virginia
Night Watchman,5.10b,4.0,1,"Trad, Sport",Grand Junction Area,Colorado
Bradley Variation,5.9 PG13,2.5,1,"Sport, TR",XM: Closed Areas,Missouri
Streaker,5.12a,4.8,1,"Sport, TR",XM: Closed Areas,Missouri
Climber's Arrogance,5.11a PG13,4.0,,"Trad, TR",Devil's Lake,Wisconsin
Jack Torrance,5.10b,2.8,1,Sport,Rifle,Colorado
Killer Queen,5.10a,3.4,1,Sport,Canon City,Colorado
Sleeps with the Fishes,5.10-,2.8,1,Sport,Canon City,Colorado
Dead Center,5.12a,4.0,1,Sport,Fremont Canyon,Wyoming
Werwolf,5.10b,4.0,,Sport,Europe,International
Asleep at the Wheel,5.12a,3.4,,Sport,Ten Sleep Canyon,Wyoming
Royal Flush,V2,4.8,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Perfect,V4,4.0,,Boulder,Cape Ann,Massachusetts
Wattage,V6,3.0,,Boulder,Cape Ann,Massachusetts
Dark Side of the Moon,5.10b/c PG13,4.0,5,"Trad, Alpine",North America,International
Bat Country,V6,4.5,,Boulder,Joe's Valley,Utah
5.9 Face,5.9,2.8,1,TR,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
La Uruguaya,5.10c,4.0,4,Trad,South America,International
The Death Sentence,V7-,3.5,,Boulder,Durango,Colorado
Angora Grotto,5.11a,4.4,1,"Trad, Sport",Central-West Cascades & Seattle,Washington
Jugular Vein,5.10-,3.4,1,Sport,Eagle/Vail/Minturn/Red Cliff,Colorado
Robin,V0,2.5,,Boulder,Eagle/Vail/Minturn/Red Cliff,Colorado
Peachstress,V-easy,3.5,,Boulder,Muscatatuck County Park,Indiana
The Invisible Boulder Problem,V5,2.0,,Boulder,Eagle/Vail/Minturn/Red Cliff,Colorado
Punta Alpini Southface,5.6,2.0,7,"Trad, Alpine",Europe,International
It's All in the Genes,5.9,3.0,1,Trad,Sierra Eastside,California
Acoplopse,5.8,2.0,2,Trad,South Platte,Colorado
The Move,5.10-,4.0,1,Trad,Paradise Valley,Montana
Astro Zombies,5.10-,3.7,6,Sport,Ouray vicinity (rock),Colorado
Lefty,5.8+,3.3,,Sport,WM: Cliff Drive,Missouri
Piss-Off,V1,2.5,,Boulder,Central Coast,California
V3/5.11,5.11,3.0,,TR,San Francisco Bay Area,California
Battle Droid,5.12b PG13,5.0,1,Trad,North America,International
Turkish Delight,5.7,3.0,1,TR,Cape Ann,Massachusetts
Jump Shot,5.11b/c PG13,2.5,,Sport,XM: Closed Areas,Missouri
"Weeping Rock Chimney's, Left Side",5.8+,3.4,3,Trad,Zion National Park,Utah
Gastons,V1,3.0,,Boulder,Table Rock,Idaho
Big Lebowsky,5.13b,3.5,1,Sport,Golden,Colorado
canine patrol,5.11b,2.8,,Sport,Central-West Cascades & Seattle,Washington
Railroad Dickie,5.10a,2.6,1,Sport,Adirondacks,New York
Rock Shop,V2,3.5,,Boulder,WM: Waterville Valley,New Hampshire
Sork,5.11- PG13,4.0,1,"Sport, Alpine",North America,International
Salsipuedes,5.10- PG13,4.0,1,"Sport, Alpine",North America,International
New kids on the rock,5.9 PG13,5.0,1,"Sport, Alpine",North America,International
Tenacious D,5.10d,2.0,,Sport,Okanogan,Washington
Sudoriferous,5.2 PG13,2.1,2,Trad,The Gunks,New York
Frio en el pechito,5.13- PG13,0.0,1,"Sport, Alpine",North America,International
El septimo dia,5.12+ PG13,0.0,1,"Sport, Alpine",North America,International
Anazazi,5.13- PG13,0.0,1,"Sport, Alpine",North America,International
Crackle,V1,3.0,,Boulder,Chittenden Bouldering,Vermont
Deeznuts,5.8,3.2,,Sport,Red River Gorge,Kentucky
Visceral Pull,5.12b,4.0,,Trad,Southern Arizona,Arizona
La Petite Fissure,V0-1,3.0,,Boulder,Central Coast,California
Ka-Bosch,5.9,3.0,1,Trad,Joshua Tree National Park,California
A Tear Above,5.7,3.0,,Sport,North America,International
Magic Central,5.13a/b,5.0,,Sport,Eastern Coastal Slope,Connecticut
Vector,V0-,3.0,,Boulder,Southern NH and Seacoast,New Hampshire
Cab Driving Aristocrat,V3,3.0,,Boulder,Grand Junction Area,Colorado
Star child,V3,4.5,,Boulder,North America,International
John Wayne,V3,2.0,,Boulder,North America,International
Crow Traverse,V1,2.0,,Boulder,North America,International
Bible Thumper,5.11b/c,4.0,,TR,North America,International
Sterling Sliver,5.12,4.0,1,Trad,Northern Arizona,Arizona
Lil' C,V3,4.0,,Boulder,Wasatch Range,Utah
Sapphires and Sabers,V4,4.0,,Boulder,Independence Pass,Colorado
Black Streak Right,V2,0.0,,Boulder,Independence Pass,Colorado
Il Ballista 6c,5.11,4.0,1,Sport,Europe,International
"Child's Play (or ""Senseless Bummer"")",5.9,2.8,1,Sport,Gallatin Canyon,Montana
Grim Thin Flake,5.9+,3.0,,Sport,North America,International
Dossier,5.11b,4.0,1,"Trad, Alpine",Albuquerque Area Climbing,New Mexico
South Ridge,Easy 5th,3.6,,"Trad, Alpine",Sierra Eastside,California
Four Horsemen,5.9,4.0,14,"Trad, Alpine",The Sawtooth Range,Idaho
Our Gang,5.10a,3.7,1,Sport,Southeast Cascades & Yakima,Washington
Swell,5.11a,4.0,1,Sport,Okanogan,Washington
Animal 6a+,5.10,3.0,,Sport,Europe,International
Lacuna,5.12- PG13,3.7,1,Trad,Northern Arizona,Arizona
Bohab,5.6,3.0,1,Trad,Lake Tahoe,California
8 Lock,5.10d,3.0,1,Trad,Lake Tahoe,California
Scolopendra,V1+,2.7,,Boulder,WM: Cliff Drive,Missouri
Poop Deck,5.6,2.3,1,Sport,Horseshoe Canyon Ranch,Arkansas
Little Dingy,5.5,2.1,1,Sport,Horseshoe Canyon Ranch,Arkansas
Undercling King,V5-6,4.8,,Boulder,The Holy Boulders,Illinois
Running with Scissors,V7- PG13,3.0,,Boulder,The Holy Boulders,Illinois
Overhanging crack,V-easy,2.0,,Boulder,Doane Boulder,Massachusetts
Feed Dolly Her Molly,V1,2.0,,Boulder,Grand Junction Area,Colorado
Mardi Gras,5.11a,4.2,1,Sport,North America,International
Height Dependent,V2-,3.0,,Boulder,Southern NH and Seacoast,New Hampshire
V0,V0,2.3,,Boulder,Wasatch Range,Utah
November Glaze,5.9,3.8,1,"Sport, TR",Central-West Cascades & Seattle,Washington
Done Before,V0,3.0,,Boulder,Southern NH and Seacoast,New Hampshire
Starting Point,5.3,3.0,1,Trad,Eastern Coastal Slope,Connecticut
Un-named,5.11,4.5,3,"Trad, Alpine",Wind River Range,Wyoming
The Diamond Arete,V5,4.0,,Boulder,Sierra Eastside,California
Aprilscherz,5.9+,3.0,,Sport,Europe,International
Megalithic Man,5.11a,4.0,1,Sport,Europe,International
The Sting,5.10a,2.5,,Trad,WM: Kancamagus (Eastern),New Hampshire
Unicorn Peak normal route,4th,2.5,,"Trad, Alpine",Yosemite National Park,California
Super Crack,5.13-,3.0,,Sport,Central Coast,California
Horton Hears a Whowah,5.7,2.7,1,Sport,Log Canyon,Utah
BDSM,5.10b,2.3,1,Trad,Red River Gorge,Kentucky
Bio Luminescent,5.12b,4.3,1,Sport,Southern Sierra,California
Sultana,5.8 PG13,2.2,2,Trad,The Gunks,New York
Honkey's Lament,5.8,3.3,2,"Trad, Sport","Central-East Cascades, Wenatchee, & Leavenworth",Washington
Ladies on Top,5.8,4.0,4,Trad,Sequoia & Kings Canyon NP,California
Cajolyne,5.10b/c,4.0,1,Sport,Europe,International
Saut d'Homme,5.10a/b,4.0,4,Sport,Europe,International
Minima,5.11-,4.0,,Sport,Maple Canyon,Utah
Red Mamba,5.11+,5.0,1,"Trad, Sport","Central-East Cascades, Wenatchee, & Leavenworth",Washington
Nothing Like the Sun,5.11d,4.0,1,"Sport, TR",Estes Park Valley,Colorado
Vernal Rain,5.8,3.0,1,Sport,Sierra Eastside,California
